time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:SQ:Japan__all,SQ:Japan__all,high95:SQ:Japan__all,low95:QS:Japan__all,QS:Japan__all,high95:QS:Japan__all,low95:QR:Japan__all,QR:Japan__all,high95:QR:Japan__all,low95:RQ:Japan__all,RQ:Japan__all,high95:RQ:Japan__all,low95:RR:Japan__all,RR:Japan__all,high95:RR:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
31,4.46234e+07,4.46234e+07,4.46234e+07,173449,173449,173449,229171,229171,229171,2.75534e+07,2.75534e+07,2.75534e+07,3.67304e+07,3.67304e+07,3.67304e+07,67037.7,67037.7,67037.7,66477.5,66477.5,66477.5,3.4143e+06,3.4143e+06,3.4143e+06,2.61994e+06,2.61994e+06,2.61994e+06,901904,901904,901904,887676,887676,887676,9.70231e+06,9.70231e+06,9.70231e+06,204.213,204.213,204.213,181.363,181.363,181.363
32,4.4623e+07,4.4623e+07,4.4623e+07,173553,173553,173553,229803,229803,229803,2.75514e+07,2.75514e+07,2.75514e+07,3.67194e+07,3.67194e+07,3.67194e+07,67055.6,67055.6,67055.6,66655,66655,66655,3.42209e+06,3.42209e+06,3.42209e+06,2.62292e+06,2.62292e+06,2.62292e+06,902555,902555,902555,889705,889705,889705,9.70994e+06,9.70994e+06,9.70994e+06,204.389,204.389,204.389,181.921,181.921,181.921
33,4.46213e+07,4.46213e+07,4.46213e+07,173523,173523,173523,230272,230272,230272,2.75497e+07,2.75497e+07,2.75497e+07,3.67101e+07,3.67101e+07,3.67101e+07,67028,67028,67028,66788.3,66788.3,66788.3,3.42996e+06,3.42996e+06,3.42996e+06,2.6255e+06,2.6255e+06,2.6255e+06,903077,903077,903077,891745,891745,891745,9.71779e+06,9.71779e+06,9.71779e+06,204.416,204.416,204.416,182.355,182.355,182.355
34,4.46188e+07,4.46188e+07,4.46188e+07,173365,173365,173365,230575,230575,230575,2.75483e+07,2.75483e+07,2.75483e+07,3.67027e+07,3.67027e+07,3.67027e+07,66955,66955,66955,66875.6,66875.6,66875.6,3.43749e+06,3.43749e+06,3.43749e+06,2.62744e+06,2.62744e+06,2.62744e+06,903384,903384,903384,893686,893686,893686,9.72579e+06,9.72579e+06,9.72579e+06,204.293,204.293,204.293,182.66,182.66,182.66
35,4.46166e+07,4.46166e+07,4.46166e+07,173086,173086,173086,230719,230719,230719,2.75472e+07,2.75472e+07,2.75472e+07,3.66971e+07,3.66971e+07,3.66971e+07,66839.5,66839.5,66839.5,66917.9,66917.9,66917.9,3.44435e+06,3.44435e+06,3.44435e+06,2.62852e+06,2.62852e+06,2.62852e+06,903408,903408,903408,895436,895436,895436,9.73388e+06,9.73388e+06,9.73388e+06,204.026,204.026,204.026,182.836,182.836,182.836
36,4.46151e+07,4.46151e+07,4.46151e+07,172704,172704,172704,230720,230720,230720,2.75463e+07,2.75463e+07,2.75463e+07,3.66932e+07,3.66932e+07,3.66932e+07,66686.3,66686.3,66686.3,66918.4,66918.4,66918.4,3.45027e+06,3.45027e+06,3.45027e+06,2.62863e+06,2.62863e+06,2.62863e+06,903103,903103,903103,896924,896924,896924,9.74196e+06,9.74196e+06,9.74196e+06,203.63,203.63,203.63,182.892,182.892,182.892
37,4.46151e+07,4.46151e+07,4.46151e+07,172239,172239,172239,230600,230600,230600,2.75456e+07,2.75456e+07,2.75456e+07,3.6691e+07,3.6691e+07,3.6691e+07,66502.1,66502.1,66502.1,66882.5,66882.5,66882.5,3.45509e+06,3.45509e+06,3.45509e+06,2.62767e+06,2.62767e+06,2.62767e+06,902446,902446,902446,898103,898103,898103,9.74991e+06,9.74991e+06,9.74991e+06,203.124,203.124,203.124,182.843,182.843,182.843
38,4.4617e+07,4.4617e+07,4.4617e+07,171713,171713,171713,230386,230386,230386,2.7545e+07,2.7545e+07,2.7545e+07,3.66902e+07,3.66902e+07,3.66902e+07,66295,66295,66295,66817.2,66817.2,66817.2,3.45872e+06,3.45872e+06,3.45872e+06,2.62566e+06,2.62566e+06,2.62566e+06,901434,901434,901434,898950,898950,898950,9.75761e+06,9.75761e+06,9.75761e+06,202.535,202.535,202.535,182.708,182.708,182.708
39,4.4621e+07,4.4621e+07,4.4621e+07,171152,171152,171152,230109,230109,230109,2.75442e+07,2.75442e+07,2.75442e+07,3.66907e+07,3.66907e+07,3.66907e+07,66073.6,66073.6,66073.6,66730.2,66730.2,66730.2,3.46117e+06,3.46117e+06,3.46117e+06,2.62264e+06,2.62264e+06,2.62264e+06,900086,900086,900086,899461,899461,899461,9.76495e+06,9.76495e+06,9.76495e+06,201.889,201.889,201.889,182.508,182.508,182.508
40,4.46273e+07,4.46273e+07,4.46273e+07,170581,170581,170581,229798,229798,229798,2.75432e+07,2.75432e+07,2.75432e+07,3.66922e+07,3.66922e+07,3.66922e+07,65847.2,65847.2,65847.2,66629.8,66629.8,66629.8,3.4625e+06,3.4625e+06,3.4625e+06,2.61872e+06,2.61872e+06,2.61872e+06,898439,898439,898439,899655,899655,899655,9.77182e+06,9.77182e+06,9.77182e+06,201.215,201.215,201.215,182.268,182.268,182.268
41,4.46359e+07,4.46359e+07,4.46359e+07,170025,170025,170025,229484,229484,229484,2.75419e+07,2.75419e+07,2.75419e+07,3.66945e+07,3.66945e+07,3.66945e+07,65624.7,65624.7,65624.7,66524.2,66524.2,66524.2,3.46286e+06,3.46286e+06,3.46286e+06,2.61405e+06,2.61405e+06,2.61405e+06,896545,896545,896545,899566,899566,899566,9.77814e+06,9.77814e+06,9.77814e+06,200.543,200.543,200.543,182.011,182.011,182.011
42,4.46468e+07,4.46468e+07,4.46468e+07,169505,169505,169505,229194,229194,229194,2.754e+07,2.754e+07,2.754e+07,3.66974e+07,3.66974e+07,3.66974e+07,65414.3,65414.3,65414.3,66421.2,66421.2,66421.2,3.46242e+06,3.46242e+06,3.46242e+06,2.60882e+06,2.60882e+06,2.60882e+06,894467,894467,894467,899241,899241,899241,9.78383e+06,9.78383e+06,9.78383e+06,199.9,199.9,199.9,181.76,181.76,181.76
43,4.46595e+07,4.46595e+07,4.46595e+07,169041,169041,169041,228950,228950,228950,2.75376e+07,2.75376e+07,2.75376e+07,3.67007e+07,3.67007e+07,3.67007e+07,65223.5,65223.5,65223.5,66327.6,66327.6,66327.6,3.4614e+06,3.4614e+06,3.4614e+06,2.60322e+06,2.60322e+06,2.60322e+06,892276,892276,892276,898738,898738,898738,9.78886e+06,9.78886e+06,9.78886e+06,199.31,199.31,199.31,181.534,181.534,181.534
44,4.46738e+07,4.46738e+07,4.46738e+07,168649,168649,168649,228773,228773,228773,2.75345e+07,2.75345e+07,2.75345e+07,3.67043e+07,3.67043e+07,3.67043e+07,65058.7,65058.7,65058.7,66249.2,66249.2,66249.2,3.46003e+06,3.46003e+06,3.46003e+06,2.59747e+06,2.59747e+06,2.59747e+06,890048,890048,890048,898118,898118,898118,9.7932e+06,9.7932e+06,9.7932e+06,198.794,198.794,198.794,181.351,181.351,181.351
45,4.46892e+07,4.46892e+07,4.46892e+07,168342,168342,168342,228676,228676,228676,2.75306e+07,2.75306e+07,2.75306e+07,3.6708e+07,3.6708e+07,3.6708e+07,64924.8,64924.8,64924.8,66190.4,66190.4,66190.4,3.45854e+06,3.45854e+06,3.45854e+06,2.59179e+06,2.59179e+06,2.59179e+06,887857,887857,887857,897443,897443,897443,9.79685e+06,9.79685e+06,9.79685e+06,198.369,198.369,198.369,181.224,181.224,181.224
46,4.47052e+07,4.47052e+07,4.47052e+07,168126,168126,168126,228668,228668,228668,2.7526e+07,2.7526e+07,2.7526e+07,3.67117e+07,3.67117e+07,3.67117e+07,64825.5,64825.5,64825.5,66154.3,66154.3,66154.3,3.45716e+06,3.45716e+06,3.45716e+06,2.58638e+06,2.58638e+06,2.58638e+06,885777,885777,885777,896775,896775,896775,9.79985e+06,9.79985e+06,9.79985e+06,198.047,198.047,198.047,181.162,181.162,181.162
47,4.47213e+07,4.47213e+07,4.47213e+07,168008,168008,168008,228752,228752,228752,2.75206e+07,2.75206e+07,2.75206e+07,3.67154e+07,3.67154e+07,3.67154e+07,64763.1,64763.1,64763.1,66142.6,66142.6,66142.6,3.4561e+06,3.4561e+06,3.4561e+06,2.58143e+06,2.58143e+06,2.58143e+06,883873,883873,883873,896168,896168,896168,9.80224e+06,9.80224e+06,9.80224e+06,197.836,197.836,197.836,181.17,181.17,181.17
48,4.47371e+07,4.47371e+07,4.47371e+07,167987,167987,167987,228927,228927,228927,2.75144e+07,2.75144e+07,2.75144e+07,3.67189e+07,3.67189e+07,3.67189e+07,64738.3,64738.3,64738.3,66155.5,66155.5,66155.5,3.45551e+06,3.45551e+06,3.45551e+06,2.57709e+06,2.57709e+06,2.57709e+06,882204,882204,882204,895672,895672,895672,9.80409e+06,9.80409e+06,9.80409e+06,197.74,197.74,197.74,181.25,181.25,181.25
49,4.4752e+07,4.4752e+07,4.4752e+07,168060,168060,168060,229185,229185,229185,2.75076e+07,2.75076e+07,2.75076e+07,3.67224e+07,3.67224e+07,3.67224e+07,64750.8,64750.8,64750.8,66192,66192,66192,3.45555e+06,3.45555e+06,3.45555e+06,2.57351e+06,2.57351e+06,2.57351e+06,880817,880817,880817,895324,895324,895324,9.80548e+06,9.80548e+06,9.80548e+06,197.757,197.757,197.757,181.399,181.399,181.399
50,4.47655e+07,4.47655e+07,4.47655e+07,168222,168222,168222,229517,229517,229517,2.75003e+07,2.75003e+07,2.75003e+07,3.67257e+07,3.67257e+07,3.67257e+07,64799.1,64799.1,64799.1,66250,66250,66250,3.45629e+06,3.45629e+06,3.45629e+06,2.57079e+06,2.57079e+06,2.57079e+06,879752,879752,879752,895153,895153,895153,9.80652e+06,9.80652e+06,9.80652e+06,197.884,197.884,197.884,181.61,181.61,181.61
